"","X1","DGUID","PCNAME","LANDAREA","PRUID","GEO_NAME","C1_COUNT_TOTAL_Population..2021","C1_COUNT_TOTAL_Population..2016","C1_COUNT_TOTAL_Population.percentage.change..2016.to.2021","C1_COUNT_TOTAL_Total.private.dwellings","C1_COUNT_TOTAL_Private.dwellings.occupied.by.usual.residents","C1_COUNT_TOTAL_Population.density.per.square.kilometre","C1_COUNT_TOTAL_Land.area.in.square.kilometres","C1_COUNT_TOTAL_65.years.and.over","C1_COUNT_TOTAL_Median.age.of.the.population","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.structural.type.of.dwelling...100..data","C1_COUNT_TOTAL_Single.detached.house","C1_COUNT_TOTAL_Average.household.size","C1_COUNT_TOTAL_Married.or.living.common.law","C1_COUNT_TOTAL_Average.number.of.children.in.census.families.with.children","C1_COUNT_TOTAL_Multigenerational.households","C1_COUNT_TOTAL_Median.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2020.among.recipients....","C1_COUNT_TOTAL_Average.total.income.in.2020.among.recipients....","C1_COUNT_TOTAL_Median.total.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.after.tax.income.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.government.transfers.in.2019.among.recipients....","C1_COUNT_TOTAL_Median.employment.insurance.benefits.in.2019.among.recipients....","C1_COUNT_TOTAL_Indigenous.identity","C1_COUNT_TOTAL_Registered.or.Treaty.Indian","C1_COUNT_TOTAL_Total...Private.households.by.tenure...25..sample.data","C1_COUNT_TOTAL_Owner","C1_COUNT_TOTAL_Renter","C1_COUNT_TOTAL_Total...Occupied.private.dwellings.by.housing.indicators...25..sample.data","C1_COUNT_TOTAL_Spending.30..or.more.of.income.on.shelter.costs.only","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.owned.dwellings....","C1_COUNT_TOTAL_Median.value.of.dwellings....","C1_COUNT_TOTAL_Average.value.of.dwellings....","C1_COUNT_TOTAL_Median.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Average.monthly.shelter.costs.for.rented.dwellings....","C1_COUNT_TOTAL_Non.immigrants","C1_COUNT_TOTAL_Immigrants","C1_COUNT_TOTAL_Total.visible.minority.population","C1_COUNT_TOTAL_Total...Highest.certificate..diploma.or.degree.for.the.population.aged.15.years.and.over.in.private.households...25..sample.data","C1_COUNT_TOTAL_No.certificate..diploma.or.degree","C1_COUNT_TOTAL_High..secondary..school.diploma.or.equivalency.certificate","C1_COUNT_TOTAL_Postsecondary.certificate.or.diploma.below.bachelor.level","C1_COUNT_TOTAL_Bachelor.s.degree","C1_COUNT_TOTAL_Total...Population.aged.15.years.and.over.by.labour.force.status...25..sample.data","C1_COUNT_TOTAL_In.the.labour.force","C1_COUNT_TOTAL_Employed","C1_COUNT_TOTAL_Unemployed","C1_COUNT_TOTAL_Not.in.the.labour.force","C1_COUNT_TOTAL_Participation.rate","C1_COUNT_TOTAL_Employment.rate","C1_COUNT_TOTAL_Unemployment.rate","C1_COUNT_TOTAL_Total...Place.of.work.status.for.the.employed.labour.force.aged.15.years.and.over...25..sample.data","C1_COUNT_TOTAL_Worked.at.home","C1_COUNT_TOTAL_Worked.outside.Canada","C1_COUNT_TOTAL_No.fixed.workplace.address","C1_COUNT_TOTAL_Usual.place.of.work","C1_COUNT_TOTAL_Total...Commuting.destination.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work...25..sample.data","C1_COUNT_TOTAL_Commute.within.census.subdivision..CSD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..within.census.division..CD..of.residence","C1_COUNT_TOTAL_Commute.to.a.different.census.subdivision..CSD..and.census.division..CD..within.province.or.territory.of.residence","C1_COUNT_TOTAL_Commute.to.a.different.province.or.territory","C1_COUNT_TOTAL_Total...Main.mode.of.commuting.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Car..truck.or.van","C1_COUNT_TOTAL_Public.transit","C1_COUNT_TOTAL_Walked","C1_COUNT_TOTAL_Bicycle","C1_COUNT_TOTAL_Other.method","C1_COUNT_TOTAL_Total...Commuting.duration.for.the.employed.labour.force.aged.15.years.and.over.with.a.usual.place.of.work.or.no.fixed.workplace.address...25..sample.data","C1_COUNT_TOTAL_Less.than.15.minutes","C1_COUNT_TOTAL_15.to.29.minutes","C1_COUNT_TOTAL_30.to.44.minutes","C1_COUNT_TOTAL_45.to.59.minutes","C1_COUNT_TOTAL_60.minutes.and.over","C10_RATE_TOTAL_65.years.and.over","C10_RATE_TOTAL_Single.detached.house","nVets","nvets_1kmBuffer","nDentist","nDentists_1kmBuffer","nDentists_2kmBuffer","nDentists_5kmBuffer","nfuneral","nfunerals_1kmBuffer","nfunerals_2kmBuffer","nfunerals_5kmBuffer","C1_COUNT_TOTAL_Commuteout","C1_COUNT_TOTAL_Dwellingperkm","C1_COUNT_TOTAL_Dwellingperpop"
"1",1,"2021S05100011","Altona",4.8014,46,"Altona",4227,4177,1.2,1759,1699,880.4,4.8,21.3,40.8,1700,1215,2.4,2205,2.1,10,38400,34000,6500,4480,45800,36400,32400,4120,5080,110,10,1710,1225,485,1710,250,950,990,250000,263500,880,924,3220,785,645,3245,895,1040,770,400,3245,2010,1905,100,1235,61.9,58.7,5,1905,180,10,190,1525,1525,1180,280,75,0,1715,1425,15,160,105,0,1715,1255,205,165,45,55,"c(NA, NA)",71.5,0,0,3,3,3,3,1,1,1,1,0.226229508196721,366.458333333333,0.401939910101727
"2",2,"2021S05100012","Amherst",12.3766,12,"Amherst",9548,9550,0,4866,4545,771.5,12.38,26.3,48.8,4545,2250,2.1,4125,1.6,70,33200,30200,13300,5520,40600,29600,27400,10200,5120,275,55,4535,2615,1920,4535,745,760,893,135000,160400,770,821,8995,285,465,8000,1875,2570,2525,670,8000,4175,3685,495,3825,52.2,46.1,11.9,3685,440,20,335,2895,2890,2075,555,55,210,3230,2865,0,280,0,75,3230,2195,525,315,90,105,"c(NA, NA)",49.5,1,2,8,8,8,8,3,3,3,5,0.282006920415225,393.053311793215,0.476015919564307
"3",3,"2021S05100025","Assiniboia",2.3856,47,"Assiniboia",2333,2389,-2.3,1235,1069,978,2.39,31.3,51.2,1070,825,2.1,1175,1.8,5,41200,37600,11200,5240,47160,41200,37200,7300,6200,105,15,1070,775,300,1070,150,775,948,2e+05,186400,705,735,2005,235,245,1890,415,635,620,180,1890,1125,1055,60,765,59.5,55.8,5.3,1055,115,0,135,810,810,690,85,30,0,940,800,0,125,10,10,940,705,100,45,40,60,"c(NA, NA)",77.1,2,3,3,3,3,3,2,2,2,2,0.148148148148148,516.73640167364,0.458208315473639
"4",4,"2021S05100028","Atikokan",2.3667,35,"Atikokan",1929,1965,-1.8,1043,912,815.1,2.37,26,51.2,915,810,2.1,880,1.7,10,41200,37600,12400,6280,51200,40800,37200,8900,5640,335,130,920,740,180,920,85,680,776,1e+05,130400,700,745,1845,100,80,1605,335,470,600,125,1605,835,775,55,770,52,48.3,6.6,770,40,0,85,645,645,570,25,40,0,735,625,0,80,0,30,735,480,110,75,20,50,"c(NA, NA)",88.5,0,1,3,3,3,3,0,0,0,0,0.116279069767442,440.084388185654,0.472783825816485
"5",5,"2021S05100037","Baie-Saint-Paul",4.0281,24,"Baie-Saint-Paul",4308,4868,-11.5,2171,2068,1069.5,4.03,36,56.8,2070,945,1.9,1900,1.7,10,36000,32800,13600,5760,42960,33600,30600,11000,4800,90,35,2090,1090,1000,2090,275,750,904,250000,257500,660,702,3805,100,115,3495,730,715,1480,395,3495,1900,1825,85,1595,54.4,52.2,4.5,1820,245,0,190,1380,1380,1140,80,165,0,1570,1250,0,230,70,20,1570,1165,210,105,30,65,"c(NA, NA)",45.7,2,2,3,3,3,4,1,1,2,2,0.173913043478261,538.709677419355,0.480037140204271
"6",6,"2021S05100042","Barrhead",4.7296,48,"Barrhead",4055,4387,-7.6,1874,1731,857.4,4.73,28.9,46.4,1730,1210,2.2,1750,1.9,20,39200,36000,12800,6280,49560,38000,35200,8500,5320,300,60,1735,1145,590,1730,370,1000,1190,250000,277500,1000,1052,3330,455,495,3070,705,910,1010,340,3070,1745,1575,170,1325,56.8,51.3,9.7,1575,115,0,215,1245,1245,1025,135,80,0,1460,1270,0,175,0,20,1460,1025,175,125,35,110,"c(NA, NA)",69.9,0,1,6,6,6,6,2,2,2,2,0.176706827309237,396.194503171247,0.426880394574599
"7",7,"2021S05100044","Barry's Bay",2.2521,35,"Barry's Bay",1084,1259,-13.9,586,509,481.3,2.25,34.6,56.4,510,405,2,465,1.8,5,30000,28600,13200,6320,39600,28000,26800,10200,5840,40,15,510,350,165,510,110,800,932,276000,296000,780,765,955,95,25,915,260,285,220,70,915,425,385,45,490,46.4,42.1,10.6,385,65,0,80,240,245,185,30,25,0,320,260,0,55,0,0,320,160,95,20,10,35,"c(NA, NA)",79.4,0,1,2,2,2,2,1,1,1,1,0.244897959183674,260.444444444444,0.469557195571956
"8",8,"2021S05100052","Beaverlodge",3.3279,48,"Beaverlodge",2251,2440,-7.7,1010,914,676.4,3.33,18.7,40,915,765,2.4,1120,1.9,10,44000,40400,10000,5520,54900,45200,40800,3840,5560,180,35,915,700,210,915,145,1340,1396,256000,270000,1170,1300,2020,165,180,1745,370,650,510,155,1745,1155,965,190,590,66.2,55.3,16.5,965,75,0,245,640,640,340,285,10,10,890,815,0,55,0,10,890,410,185,175,30,85,"c(NA, NA)",83.6,0,1,2,2,2,2,2,2,2,2,0.46875,303.303303303303,0.406041759218125
"9",9,"2021S05100071","Biggar",1.51,47,"Biggar",2045,2165,-5.5,996,911,1354.3,1.51,27.1,45.6,910,785,2.2,945,1.9,5,38800,36000,11400,6240,47520,37600,34400,7250,7550,195,60,910,660,250,910,120,580,832,2e+05,209200,810,890,1660,245,275,1605,360,510,525,175,1605,920,885,40,680,57.3,55.1,4.3,885,40,0,120,725,725,580,60,75,10,845,730,0,85,15,10,845,620,50,45,40,95,"c(NA, NA)",86.3,0,1,1,1,1,1,1,1,1,1,0.2,659.602649006623,0.445476772616137
"10",10,"2021S05100078","Boissevain",2.5351,46,"Boissevain",1567,1656,-5.4,733,697,618.1,2.54,27.5,44.4,695,545,2.2,755,1.9,0,40800,35600,9900,6080,47800,38400,34000,7400,6800,205,40,710,525,185,710,80,604,820,170000,199000,900,860,1420,100,60,1255,245,355,445,160,1255,715,680,30,540,57,54.2,4.2,680,80,10,140,445,445,340,75,35,0,590,450,0,90,45,10,590,395,85,35,45,30,"c(NA, NA)",78.4,0,1,2,2,2,2,0,0,0,0,0.235955056179775,288.582677165354,0.444798978940651
"11",11,"2021S05100082","Bonavista",4.3613,10,"Bonavista",2979,3140,-5.1,1628,1379,683.1,4.36,31.4,54.8,1380,1230,2.1,1535,1.5,25,31600,28600,17000,13400,35960,29000,27000,14600,13000,60,0,1380,1080,295,1380,155,468,635,139000,146400,705,695,2860,35,10,2605,890,840,690,150,2605,1350,1100,245,1260,51.8,42.2,18.1,1100,60,0,185,855,860,755,25,30,40,1045,955,10,50,0,20,1045,865,100,30,0,40,"c(NA, NA)",89.1,0,0,1,1,1,1,1,1,1,1,0.122093023255814,373.394495412844,0.462907015777106
"12",12,"2021S05100083","Bonnyville",6.3974,48,"Bonnyville",6359,5858,8.6,2964,2518,994,6.4,14.5,36,2515,1595,2.5,2615,1.9,45,43600,39600,9300,6000,54050,43200,38800,2380,6450,1050,425,2520,1505,1010,2520,520,1570,1616,310000,314800,1160,1216,5405,685,840,4825,1000,1650,1550,490,4825,3270,2935,340,1550,67.8,60.8,10.4,2935,175,0,700,2055,2055,1730,270,40,15,2755,2545,0,145,20,35,2755,1790,360,300,175,130,"c(NA, NA)",63.4,0,2,3,3,3,3,2,2,2,2,0.158150851581509,463.125,0.395974209781412
"13",13,"2021S05100084","Botwood",5.5436,10,"Botwood",2741,2819,-2.8,1374,1237,494.4,5.54,34.3,56.4,1240,1030,2.1,1500,1.6,20,29800,27800,15600,8500,37160,27000,25400,13400,8900,100,80,1235,870,355,1235,175,628,830,150000,162800,760,748,2575,10,0,2285,635,700,800,95,2285,1000,785,210,1285,43.8,34.4,21,785,35,0,90,660,660,370,170,85,45,750,655,0,40,0,50,750,445,115,150,10,35,"c(NA, NA)",83.1,0,0,2,2,2,2,2,2,2,4,0.439393939393939,248.014440433213,0.451295147756293
"14",14,"2021S05100096","Bridgewater",13.629,12,"Bridgewater",8790,8532,3,4493,4260,644.9,13.63,29.9,51.6,4260,2050,2,4005,1.6,55,33200,30600,12700,5320,41480,30200,28000,9800,4880,365,50,4260,2470,1790,4260,895,800,955,2e+05,218000,920,966,7805,570,445,7455,1400,2235,2540,915,7455,3945,3460,485,3510,52.9,46.4,12.3,3460,430,0,400,2620,2620,1720,710,155,35,3025,2675,0,275,10,55,3025,1945,630,265,45,135,"c(NA, NA)",48.1,1,2,17,17,17,17,3,3,4,6,0.343511450381679,329.640498899486,0.484641638225256
"15",15,"2021S05100107","Burgeo",2.0758,10,"Burgeo",1176,1307,-10,659,570,566.5,2.08,38.3,60.4,570,545,2,780,1.3,0,27400,25800,16000,11900,35600,25600,24600,14300,12000,200,125,570,535,40,570,25,384,438,70000,74400,705,640,1145,10,10,1080,350,345,325,35,1080,460,355,100,625,42.6,32.9,21.7,355,35,0,90,230,230,160,25,35,10,320,265,0,30,0,15,320,250,35,15,0,20,"c(NA, NA)",95.6,0,0,0,0,0,0,0,0,0,0,0.304347826086957,316.826923076923,0.48469387755102
"16",16,"2021S05100110","Burns Lake",3.1175,59,"Burns Lake",2117,1942,9,864,791,679.1,3.12,17.7,38.8,790,530,2.6,865,1.9,40,38000,36000,10000,5480,47720,33200,30800,6700,5640,855,790,785,405,290,785,65,910,912,188000,218000,770,870,1855,105,85,1630,370,565,495,160,1625,995,910,85,635,61.2,56,8.5,910,40,0,190,680,680,515,150,15,0,870,750,10,95,0,0,870,625,145,35,10,50,"c(NA, NA)",67.1,0,0,3,3,3,3,0,0,0,0,0.242647058823529,276.923076923077,0.373641946150213
"17",17,"2021S05100127","Canora",1.6636,47,"Canora",1763,1725,2.2,948,829,1059.7,1.66,28.6,49.2,830,700,2.1,770,1.9,5,34000,32000,13700,7300,42560,32800,30400,8500,6650,190,55,825,605,215,825,135,540,776,130000,146500,645,645,1535,105,135,1365,370,480,370,120,1365,710,630,80,655,52,46.2,11.3,630,85,0,135,415,415,285,95,30,0,545,450,0,70,15,10,545,330,35,130,10,35,"c(NA, NA)",84.3,0,0,1,1,1,1,2,2,2,2,0.313253012048193,571.084337349398,0.470221213840045
"18",18,"2021S05100129","Cap-aux-Meules",6.1687,24,"Cap-aux-Meules",2516,2569,-2.1,1173,1130,407.9,6.17,31.9,55.6,1130,795,2.1,1360,1.5,10,40800,36000,15600,10700,48600,38000,33600,13900,10100,0,0,1145,760,380,1145,120,1100,1120,250000,266000,750,712,2330,0,0,2095,555,380,865,225,2095,1225,1105,120,870,58.5,52.7,9.8,1105,145,0,100,855,855,780,40,45,0,960,900,0,40,0,20,960,775,120,45,10,0,"c(NA, NA)",70.4,1,1,3,5,6,6,1,1,1,2,0.0877192982456141,190.113452188006,0.44912559618442
"19",19,"2021S05100134","Caraquet",7.7219,13,"Caraquet",3190,3185,0.2,1579,1490,413.1,7.72,32,54.8,1490,1105,2.1,1505,1.6,35,36800,32800,15200,9100,46160,35200,31400,12800,9500,125,0,1470,1060,415,1470,170,785,908,184000,198000,705,732,2975,50,55,2660,560,635,855,435,2660,1550,1350,190,1115,58.3,50.8,12.3,1355,210,0,120,1015,1020,625,330,25,35,1140,1025,15,70,0,30,1140,765,180,145,30,20,"c(NA, NA)",74.2,1,2,4,4,5,5,1,1,2,7,0.387254901960784,204.533678756477,0.467084639498433
"20",20,"2021S05100138","Cardston",3.8787,48,"Cardston",3519,3389,3.8,1268,1197,907.3,3.88,26.5,40.8,1195,1020,2.8,1640,2.3,45,35200,33600,13700,6280,45440,32000,30600,9200,6080,540,460,1200,875,325,1200,140,1060,1162,276000,292000,1000,1036,3050,330,215,2640,430,880,750,380,2640,1415,1320,95,1225,53.6,50,6.7,1315,135,10,210,970,965,740,155,55,15,1180,1075,10,70,0,25,1180,790,155,110,65,60,"c(NA, NA)",85.4,1,1,4,4,4,4,1,1,1,1,0.233160621761658,326.80412371134,0.340153452685422
"21",21,"2021S05100141","Carlyle",2.1592,47,"Carlyle",1519,1503,1.1,682,618,703.5,2.16,16.8,36.4,620,455,2.4,720,1.9,5,48000,42800,7500,5920,59200,45200,40000,2460,4920,100,65,620,415,205,620,105,1230,1320,250000,266000,900,1010,1320,145,165,1135,170,400,390,160,1135,815,790,30,315,71.8,69.6,3.7,785,50,0,155,580,580,465,95,20,0,740,670,0,55,0,0,740,530,85,60,10,45,"c(NA, NA)",73.4,0,1,1,1,1,1,0,0,0,0,0.198275862068966,315.740740740741,0.406846609611587
"22",22,"2021S05100143","Carnduff",0.9687,47,"Carnduff",1125,1023,10,520,423,1161.4,0.97,23.9,40.4,425,350,2.4,510,2.1,5,45600,41200,9100,5720,52500,44800,40000,2480,6240,40,0,425,340,85,425,40,1100,1192,2e+05,221000,632,730,950,85,85,780,155,285,250,85,780,525,490,35,255,67.3,62.8,6.7,490,25,0,90,375,375,235,115,15,0,465,410,0,45,10,0,465,285,75,60,25,20,"c(NA, NA)",82.4,1,2,0,0,0,0,1,1,1,1,0.373333333333333,536.082474226804,0.376
"23",23,"2021S05100149","Causapscal",1.7749,24,"Causapscal",1013,1041,-2.7,556,510,570.7,1.77,29,54.8,510,285,1.9,475,1.6,5,33200,30400,15800,9800,39100,30600,28400,13100,8500,50,0,515,360,165,520,40,584,636,1e+05,131000,532,504,950,0,0,865,290,170,340,40,865,420,380,40,450,48.6,43.9,9.5,380,25,0,65,285,285,130,120,35,0,355,325,0,15,0,10,355,165,125,25,0,40,"c(NA, NA)",55.9,0,0,0,0,0,0,2,4,4,4,0.543859649122807,314.124293785311,0.503455083909181
"24",24,"2021S05100154","Chandler",1.9262,24,"Chandler",2189,2285,-4.2,1136,1082,1136.4,1.93,32.5,55.6,1085,655,2,965,1.5,20,34000,31000,16000,9700,41280,30800,28000,13200,8800,145,0,1120,645,480,1120,110,655,782,150000,170400,572,540,2230,25,20,1965,625,520,620,150,1965,935,850,85,1030,47.6,43.3,9.1,850,75,0,75,700,700,505,140,50,0,775,705,0,60,0,10,775,550,160,45,0,15,"c(NA, NA)",60.4,0,0,2,2,2,2,1,1,1,2,0.278571428571429,588.60103626943,0.494289629968022
"25",25,"2021S05100155","Channel-Port aux Basques",5.1668,10,"Channel-Port aux Basques",3127,3665,-14.7,1644,1500,605.2,5.17,31.8,55.6,1500,1285,2.1,1705,1.5,25,34000,31000,15000,8400,41200,32000,29600,12500,9000,120,20,1515,1170,345,1515,165,536,706,130000,138000,695,684,3035,35,40,2765,845,900,790,150,2765,1265,1040,225,1495,45.8,37.6,17.8,1040,75,0,185,785,780,675,10,75,25,965,850,20,65,0,35,965,760,125,50,15,20,"c(NA, NA)",85.7,0,0,1,1,1,1,3,3,3,3,0.134615384615385,317.988394584139,0.479692996482251
"26",26,"2021S05100156","Chapais",1.0331,24,"Chapais",1289,1318,-2.2,625,572,1247.7,1.03,16.7,41.2,570,395,2.2,665,1.9,5,43200,38800,11800,5480,47500,39200,35600,9700,5520,75,35,585,440,145,585,70,720,936,125000,125600,616,650,1250,15,15,1020,360,180,450,25,1020,665,625,40,355,65.2,61.3,6,620,40,0,30,560,555,400,155,0,0,585,445,0,100,0,40,585,365,45,125,25,25,"c(NA, NA)",69.3,0,0,1,1,1,1,1,1,1,1,0.279279279279279,606.796116504854,0.443754848719938
"27",27,"2021S05100157","Chapleau",0.5929,35,"Chapleau",1144,1170,-2.2,612,543,1929.5,0.59,23.7,48,545,370,2.1,580,1.7,5,42000,37600,10700,5120,47100,38800,35200,8400,4920,230,110,535,385,150,535,30,755,876,95000,131000,870,840,1075,25,45,960,285,265,335,60,960,560,510,50,400,58.3,53.1,8.9,510,15,0,65,435,435,415,0,20,0,495,390,0,105,0,0,495,400,85,15,0,0,"c(NA, NA)",67.9,0,0,1,1,1,1,0,0,0,0,0.0459770114942529,1037.28813559322,0.47465034965035
"28",28,"2021S05100175","Chibougamau",6.0037,24,"Chibougamau",6491,6862,-5.4,3200,2895,1081.2,6,16.1,40.4,2895,1325,2.2,3205,1.8,15,48400,42400,9900,5480,54350,44800,39600,8000,5200,505,325,2885,1940,940,2885,240,960,1031,2e+05,196000,604,622,6145,85,260,5145,1240,945,2370,440,5145,3600,3460,140,1545,70,67.2,3.9,3460,240,0,270,2940,2940,2650,225,75,0,3215,2665,10,335,50,155,3215,2595,295,95,75,155,"c(NA, NA)",45.8,1,1,3,3,3,3,1,1,1,1,0.0986394557823129,533.333333333333,0.446002156832537
"29",29,"2021S05100182","Clarenville-Shoal Harbour",12.4608,10,"Clarenville-Shoal Harbour",6143,5828,5.4,2854,2573,493,12.46,23.3,45.6,2575,1630,2.3,3145,1.7,45,37200,33600,13700,6850,49000,35600,32000,11400,8500,175,55,2575,1690,885,2570,465,1100,1201,250000,270000,820,862,5700,165,210,4960,925,1360,1875,480,4960,3045,2650,400,1915,61.4,53.4,13.1,2655,205,10,375,2060,2060,1630,160,235,35,2435,2225,10,100,0,90,2435,1890,185,165,55,145,"c(NA, NA)",63.3,3,4,6,6,6,6,6,6,6,8,0.20873786407767,229.052969502408,0.418850724401758
"30",30,"2021S05100183","Claresholm",2.6836,48,"Claresholm",3434,3424,0.3,1641,1532,1279.6,2.68,35.9,56.4,1530,1150,2.1,1710,1.8,15,36400,34400,14200,6000,46080,36000,33600,10000,6320,150,65,1535,1185,350,1535,240,940,1072,250000,248800,850,944,2810,350,195,2715,575,840,990,235,2715,1430,1290,145,1285,52.7,47.5,10.1,1290,80,10,150,1050,1050,655,310,80,10,1200,1040,20,125,0,15,1200,925,140,45,20,65,"c(NA, NA)",75.2,1,2,3,3,3,3,3,3,3,3,0.376190476190476,612.313432835821,0.44612696563774
"31",31,"2021S05100187","Clinton",2.8949,35,"Clinton",3113,3049,2.1,1452,1390,1075.3,2.89,25.2,44.4,1390,975,2.2,1500,1.8,20,40800,36800,12100,5280,46880,38800,35200,7800,5120,95,45,1435,1020,420,1435,205,980,1084,348000,358000,870,888,2965,185,70,2605,625,775,890,250,2605,1545,1425,125,1060,59.3,54.7,8.1,1425,170,10,200,1055,1055,450,450,145,0,1250,1120,0,100,15,15,1250,530,440,130,35,115,"c(NA, NA)",70.1,1,1,4,4,4,4,1,1,1,3,0.57345971563981,502.42214532872,0.446514616125924
"32",32,"2021S05100192","Cochrane",3.6579,35,"Cochrane",3774,3669,2.9,1748,1626,1031.7,3.66,20.8,42.4,1625,1125,2.3,1765,1.8,35,42400,38400,11300,5480,49400,39200,36000,7600,6080,925,560,1630,1125,505,1625,200,980,1100,2e+05,217600,880,900,3595,65,90,3000,775,925,935,265,3000,1720,1555,165,1280,57.3,51.8,9.6,1555,135,0,190,1230,1230,1130,55,25,20,1415,1160,60,160,10,25,1415,1060,135,60,20,145,"c(NA, NA)",69.2,1,1,2,2,2,2,2,2,2,2,0.0813008130081301,477.595628415301,0.430842607313196
"33",33,"2021S05100212","Creston",6.0392,59,"Creston",5459,5236,4.3,2741,2604,903.9,6.04,38.6,57.6,2605,1915,2,2755,1.7,25,33200,31400,14900,5480,41760,29600,27800,13100,5280,445,60,2630,2005,625,2630,415,675,918,340000,341600,900,956,4600,620,245,4610,920,1510,1595,430,4610,2175,1985,190,2430,47.2,43.1,8.7,1985,185,0,295,1500,1500,1100,320,65,15,1795,1460,15,240,45,30,1795,1400,240,55,20,65,"c(NA, NA)",73.5,1,1,8,8,8,8,2,2,2,2,0.266666666666667,453.807947019868,0.477010441472797
"34",34,"2021S05100215","Dauphin",7.9515,46,"Dauphin",8034,8233,-2.4,3877,3619,1010.4,7.95,23.6,41.2,3620,2645,2.2,3220,1.9,45,36800,33200,11100,5480,45200,33600,30800,7750,5640,2075,775,3605,2225,1380,3605,465,608,816,170000,187000,780,800,7120,510,525,6245,1390,1980,1935,665,6245,3595,3340,250,2650,57.6,53.5,7,3340,245,0,360,2730,2725,2510,110,90,15,3090,2690,0,315,45,45,3090,2510,350,100,55,70,"c(NA, NA)",73.1,1,2,6,6,6,6,3,3,3,3,0.0788990825688073,487.672955974843,0.450460542693552
"35",35,"2021S05100229","Digby",3.1563,12,"Digby",2001,2060,-2.9,1133,1030,634,3.16,33.5,55.2,1030,570,1.8,775,1.6,10,29200,27600,15500,5880,34960,24800,23600,10700,6450,160,30,1030,420,610,1030,215,765,852,170000,190000,730,780,1725,130,155,1715,515,510,475,160,1715,850,700,150,865,49.6,40.8,17.6,700,80,0,85,535,535,320,170,40,0,620,500,20,85,0,15,620,430,65,75,25,30,"c(NA, NA)",55.3,1,1,4,4,4,5,3,3,3,3,0.401869158878505,358.544303797468,0.514742628685657
"36",36,"2021S05100239","Drumheller",9.4814,48,"Drumheller",6497,6439,0.9,3096,2804,685.2,9.48,22.3,44.8,2805,2100,2.2,2965,1.8,45,41200,37600,9900,5520,52350,40000,36400,4560,6240,325,80,2800,1940,865,2800,510,1150,1306,250000,275200,970,1022,5235,810,800,5115,935,1710,1635,630,5115,3295,3000,290,1825,64.4,58.7,8.8,3000,225,0,405,2380,2380,2175,75,95,35,2785,2510,15,190,20,50,2785,2095,355,95,75,165,"c(NA, NA)",74.9,1,1,6,6,6,6,2,2,2,2,0.0861344537815126,326.582278481013,0.431583807911344
"37",37,"2021S05100241","Dryden",6.5274,35,"Dryden",5355,5596,-4.3,2647,2475,820.4,6.53,25,48.4,2475,1755,2.1,2505,1.7,40,44000,39600,10500,5760,49320,41600,37600,7150,5640,1065,510,2490,1720,770,2490,270,790,953,2e+05,209800,860,936,4945,335,245,4590,900,1500,1555,475,4590,2580,2345,240,2005,56.2,51.1,9.3,2345,205,0,270,1865,1865,1695,135,30,0,2140,1855,0,230,15,45,2140,1710,230,50,15,140,"c(NA, NA)",70.9,1,3,8,8,8,8,1,1,1,1,0.0911528150134048,405.359877488515,0.46218487394958
"38",38,"2021S05100248","Durham",3.2427,35,"Durham",2755,2609,5.6,1245,1191,849.6,3.24,30.3,51.2,1190,815,2.2,1270,1.7,25,33200,30800,13300,5520,39760,30600,28600,10100,5560,65,15,1245,875,370,1245,205,840,980,372000,395000,820,840,2390,225,75,2250,620,720,720,155,2250,1215,1130,85,1040,54,50.2,7,1130,125,0,175,825,825,195,365,265,0,1005,905,0,75,15,15,1005,320,335,140,70,140,"c(NA, NA)",68.5,0,1,3,3,3,3,1,1,1,2,0.763636363636364,384.259259259259,0.432304900181488
"39",39,"2021S05100254","Edson",10.7038,48,"Edson",8166,8148,0.2,3684,3306,762.9,10.7,13.6,38.4,3310,1975,2.4,3685,1.8,80,46000,41600,8300,5280,58800,46000,40800,1700,5480,855,150,3300,2260,1040,3300,500,1420,1444,324000,315200,1120,1220,6995,820,885,6425,1485,2420,1875,495,6425,4500,4000,505,1925,70,62.3,11.2,3995,330,0,745,2925,2925,2530,250,130,10,3665,3290,20,290,15,50,3665,2665,435,185,95,285,"c(NA, NA)",59.7,2,2,6,6,6,6,1,1,1,1,0.135042735042735,344.299065420561,0.404849375459221
